model_id,architecture_id,family,target,feature_set,with_abs,phase_split,subject_id,feature_name,modality,mean_abs_shap,mean_shap,mean_feature_value,mean_prediction,mean_base_value,n_windows,abs_shap_share,feature_rank_within_subject
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,z_vl_prox_full_window_rms,EMG,92.09804815681325,22.54806997747688,13.989517160539162,36.49564784128082,-90.73912953399132,156,0.044056647290936224,5
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,z_vl_prox_full_window_mav,EMG,29.119301020617606,5.49819359655647,13.233246472688638,36.49564784128082,-90.73912953399132,156,0.013929706438941968,26
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,z_vl_prox_full_window_wl,EMG,193.12027485890977,-28.80404463857365,13.35580732666563,36.49564784128082,-90.73912953399132,156,0.092382325190007,1
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,z_vl_prox_full_window_zcr,EMG,53.9103578813345,4.322691375721006,-4.411677153720375,36.49564784128082,-90.73912953399132,156,0.025788924630216405,13
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,z_vl_prox_full_window_mdf,EMG,44.3506507193095,2.592406989195203,-0.12623291351552823,36.49564784128082,-90.73912953399132,156,0.021215878240298802,18
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,z_vl_prox_full_window_mnf,EMG,54.91340093045618,-2.6341304566806363,-0.06687980581669169,36.49564784128082,-90.73912953399132,156,0.02626874710981485,11
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,z_vl_prox_full_window_p_low,EMG,14.700455418785918,2.1414313953950077,0.021613675788419513,36.49564784128082,-90.73912953399132,156,0.00703220961098806,38
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,z_vl_prox_full_window_p_mid,EMG,29.076154289885306,-4.811172408277978,-0.04206285295596747,36.49564784128082,-90.73912953399132,156,0.013909066476036422,27
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,z_vl_prox_full_window_p_high,EMG,39.3974065122122,0.8141057510126714,-0.03359420349259856,36.49564784128082,-90.73912953399132,156,0.018846410728822392,19
Lin10_dc410fe4,Lin10,Lin,lt1,EMG+NIRS+HRV,False,full_window,S002,z_vl_prox_full_window_ratio_mid_high,EMG,14.80667252608731,11.569798712624353,0.10052694555376708,36.49564784128082,-90.73912953399132,156,0.007083020347222917,37
